age,workclass,education,marital-status,occupation,gender,hours-per-week,experience
25,3,1,4,6,1,40,12
38,3,8,2,4,1,50,23
28,1,4,2,11,1,40,10
44,3,11,2,6,1,40,28
18,2,11,4,8,0,30,2
34,3,0,4,7,1,30,22
29,2,8,4,8,1,40,14
63,5,10,2,10,1,32,42
24,3,11,4,7,0,40,8
65,3,8,2,6,1,40,50
36,0,6,2,0,1,40,17
26,3,8,4,0,0,39,11
58,2,8,2,8,1,35,43
48,3,8,2,6,1,48,33
43,3,9,2,3,1,50,23
20,6,11,4,7,1,25,4
43,3,8,2,0,0,30,28
37,3,8,6,6,0,20,22
40,3,7,2,10,1,45,18
34,3,6,2,13,1,47,15
34,3,11,4,7,0,35,18
25,3,6,4,10,1,43,6
25,3,6,2,10,1,40,6
45,5,8,2,2,1,90,30
22,3,8,4,0,1,20,7
23,3,8,5,6,1,54,8
54,3,8,2,2,1,35,39
32,5,11,4,10,1,60,16
46,6,11,2,3,1,38,30
56,5,1,6,7,0,50,43
24,5,6,4,12,1,50,5
23,1,11,2,11,1,40,7
26,3,8,0,3,0,40,11
65,2,8,2,8,1,40,50
36,1,6,2,10,1,40,17
17,3,0,4,6,1,40,5
20,3,8,4,2,1,40,5
65,3,9,2,10,1,50,45
44,4,5,2,12,1,45,27
36,3,8,2,4,1,40,21
29,3,1,2,7,1,40,16
20,6,11,4,4,1,32,4
28,3,5,2,10,0,36,11
54,3,11,2,14,1,50,38
52,3,1,5,9,0,18,39
56,4,8,6,3,0,50,41
18,3,11,4,7,1,20,2
39,3,8,0,5,1,40,24
21,3,11,4,7,0,24,5
22,3,8,4,7,1,60,7
38,3,3,3,3,1,54,27
21,3,11,4,0,0,40,5
63,3,8,2,2,1,40,48
34,1,6,2,3,1,50,15
42,4,8,2,3,1,50,27
33,3,8,2,5,1,40,18
30,3,6,4,3,0,50,11
39,3,11,0,12,1,40,23
26,3,9,4,3,0,40,6
33,3,8,4,6,0,40,18
47,1,8,0,0,0,40,32
41,3,6,4,7,0,40,22
41,4,4,2,2,1,60,23
19,3,11,4,7,1,20,3
46,3,8,5,14,1,40,31
43,3,8,2,12,1,48,28
55,3,11,2,3,1,45,39
46,3,5,2,13,1,40,29
30,3,8,2,6,1,40,15
21,3,11,5,5,0,40,5
46,3,11,2,2,1,40,30
17,2,0,4,8,1,40,5
41,3,8,2,6,1,50,26
69,4,8,2,12,1,30,54
50,3,8,2,14,1,40,35
20,3,11,4,0,0,40,4
45,4,11,2,6,1,50,29
23,3,6,4,3,1,40,4
24,3,11,5,7,1,40,8
44,4,8,2,2,1,50,29
31,5,11,2,2,1,50,15
43,3,8,5,6,0,44,28
20,0,1,4,7,0,10,7
55,3,8,2,12,1,56,40
24,0,11,4,1,1,40,8
41,2,9,2,8,0,10,21
59,3,6,4,3,0,25,40
33,3,9,2,10,0,10,13
59,0,6,0,0,1,40,40
34,3,9,4,7,1,40,14
20,3,8,4,5,1,40,5
25,3,6,4,3,0,40,6
49,3,0,2,4,1,40,37
59,3,8,2,14,1,40,44
20,3,8,4,0,0,40,5
51,2,11,2,8,0,18,35
33,3,11,4,0,0,35,17
22,3,11,4,14,1,39,6
58,5,3,6,7,0,40,47
52,1,8,6,0,0,28,37
36,3,0,5,6,0,40,24
41,1,8,2,11,1,40,26
28,3,8,4,14,1,40,13
19,3,11,4,5,1,16,3
18,3,8,4,7,0,28,3
18,3,8,4,6,0,48,3
28,3,11,2,2,1,40,12
29,3,5,2,3,1,40,12
20,2,8,4,8,0,20,5
40,3,11,2,5,1,40,24
26,3,8,4,5,1,40,11
46,3,8,2,2,1,40,31
23,3,1,4,7,0,24,10
44,3,8,3,0,0,40,29
43,3,6,0,12,0,40,24
31,1,6,0,10,0,60,12
18,3,11,4,12,0,25,2
19,3,11,4,11,1,30,3
41,3,11,0,13,0,40,25
41,3,8,0,5,0,40,26
69,3,8,0,0,0,25,54
48,0,7,2,10,0,40,26
28,3,8,4,10,1,40,13
27,5,8,2,2,1,60,12
41,3,9,2,10,1,50,21
41,3,11,2,0,1,40,25
24,3,8,4,2,0,40,9
20,2,8,4,8,0,40,5
42,4,7,2,10,1,41,20
57,3,8,2,2,1,48,42
30,3,4,4,10,0,40,12
